2025-05-25 08:42:54,hello guys,,cy
2025-05-25 08:43:14,how are you ?,,en
2025-05-25 08:44:02,hello guys,,cy
2025-05-25 08:44:22,salut,👋 Bonjour ! Comment puis-je vous aider à réserver un vol ?,fi
2025-05-25 08:50:33,salut,👋 Bonjour ! Comment puis-je vous aider à réserver un vol ?,en
2025-05-25 08:50:54,je veux reserver un vol pour new york,,en
2025-05-25 08:51:24,je veux reserver un vol pour new york demain,✈️ Vol de N/A → New York le 2025-05-26 à 00:00,en
2025-05-25 08:52:12,le depart est de LA et je veux voyager demain soir,✈️ Vol de LAX → JFK le 2025-05-26 à ...,en
2025-05-25 08:52:58,le soir quels sont les horaires de voyage ? et quel est le mieux pour moi?,✈️ Vol de LAX → JFK le 2025-05-26 à ...,en
2025-05-25 08:58:02,salut,👋 Bonjour ! Comment puis-je vous aider à réserver un vol ?,fr
2025-05-25 08:58:34,je n'ai meme pas encore posée ma question,,fi
2025-05-25 08:59:44,salut,👋 Bonjour ! Comment puis-je vous aider à réserver un vol ?,fr
2025-05-25 09:00:01,salut,👋 Bonjour ! Comment puis-je vous aider à réserver un vol ?,fi
2025-05-25 09:16:15,Ssalut,,fr
2025-05-25 09:16:33,salut,👋 Bonjour ! Comment puis-je vous aider à réserver un vol ?,fi
2025-05-25 09:16:50,je veux reserver un vol pour newyork,,fi
2025-05-25 09:17:24,Je veux reserver un vol pour new york,,fr
2025-05-25 09:20:48,salut,👋 Bonjour ! Comment puis-je vous aider à réserver un vol ?,fr
2025-05-25 09:21:09,je veux reserver un vol pour new york,,fi
2025-05-25 09:21:26,je veux reserver un vol pour new york,,fr
2025-05-25 10:53:35,salut,👋 Bonjour ! Comment puis-je vous aider à réserver un vol ?,fr
2025-05-25 10:53:43,hello,👋 Bonjour ! Comment puis-je vous aider à réserver un vol ?,fi
2025-05-25 10:53:59,je veux reserver un vol pour miami,,nl
2025-05-25 10:57:44,hello,👋 Bonjour ! Comment puis-je vous aider à réserver un vol ?,fr
2025-05-25 10:58:15,hello,👋 Bonjour ! Comment puis-je vous aider à réserver un vol ?,fr
2025-05-25 10:58:25,salut,👋 Bonjour ! Comment puis-je vous aider à réserver un vol ?,nl
